Unnamed: 0,Time,Source,Destination,Protocol,Length,anomaly
419,41.455025,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
420,41.455426,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TLSv1.3,154,1
421,41.455569,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TLSv1.3,840,-1
422,41.475698,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
423,41.486947,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
424,41.494854,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,1374,1
425,41.494854,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,1374,1
426,41.494854,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,1374,1
427,41.494854,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,270,1
428,41.494854,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,172,1
429,41.494959,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
430,41.495543,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TLSv1.3,154,1
431,41.495765,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TLSv1.3,830,-1
432,41.529439,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
433,41.529439,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,1294,1
434,41.529439,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,1294,1
435,41.529439,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,1294,1
436,41.529439,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,510,-1
437,41.529439,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,172,1
438,41.529625,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
439,41.530739,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TLSv1.3,154,1
440,41.531173,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TLSv1.3,837,-1
441,41.628802,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
442,41.628802,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,377,1
443,41.628802,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,377,1
444,41.628858,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
445,41.631928,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,372,1
446,41.63395,2405:200:1604::312c:5f8f,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,547,-1
447,41.63395,2405:200:1604::312c:5f8f,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,148,1
448,41.633997,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2405:200:1604::312c:5f8f,TCP,74,1
449,41.636462,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TLSv1.3,841,-1
450,41.636712,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2405:200:1604::312c:5f8f,TLSv1.3,305,1
451,41.675521,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
452,41.675521,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,377,1
453,41.675521,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,377,1
454,41.675571,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
455,41.676874,2405:200:1604::312c:5f8f,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
456,41.676874,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,372,1
457,41.701285,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,377,1
458,41.701285,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,377,1
459,41.701327,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
460,41.709152,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,372,1
461,41.726225,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
462,41.757616,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
463,41.830052,2607:f740:e619::1,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,372,1
464,41.88534,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2607:f740:e619::1,TCP,74,1
465,41.909082,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,98,1
466,41.909082,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
467,41.909132,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TCP,74,1
468,41.965059,2405:200:1604::312c:5f8f,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,548,-1
469,41.965059,2405:200:1604::312c:5f8f,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,148,1
